id_sujet,serie,trial,item,correct,key_press,correct_response,rt,time_elapsed,test_part
3,1,1,1,1.0,5,5,587.0,12010,trial_1_1_1
3,1,1,2,1.0,3,3,159.0,12170,trial_1_1_2
3,1,1,3,1.0,1,1,61.0,12233,trial_1_1_3
3,1,2,1,1.0,4,4,2136.0,19948,trial_1_2_1
3,1,2,2,1.0,8,8,307.0,20256,trial_1_2_2
3,1,2,3,1.0,2,2,628.0,20884,trial_1_2_3
3,1,2,4,1.0,9,9,170.0,21057,trial_1_2_4
3,1,3,1,1.0,5,5,1725.0,29376,trial_1_3_1
3,1,3,2,1.0,8,8,346.0,29723,trial_1_3_2
3,1,3,3,1.0,1,1,727.0,30452,trial_1_3_3
3,1,3,4,1.0,7,7,373.0,30826,trial_1_3_4
3,1,3,5,1.0,2,2,214.0,31041,trial_1_3_5
3,1,4,1,1.0,5,5,3234.0,41905,trial_1_4_1
3,1,4,2,1.0,6,6,81.0,41987,trial_1_4_2
3,1,4,3,1.0,4,4,889.0,42876,trial_1_4_3
3,1,4,4,1.0,3,3,320.0,43196,trial_1_4_4
3,1,4,5,1.0,2,2,378.0,43575,trial_1_4_5
3,1,4,6,1.0,9,9,292.0,43868,trial_1_4_6
3,1,5,1,,1,2,58777.0,111278,trial_1_5_1
3,1,5,2,,2,8,105.0,111386,trial_1_5_2
3,1,5,3,,3,9,54.0,111442,trial_1_5_3
3,1,5,4,,4,7,65.0,111509,trial_1_5_4
3,1,5,5,,5,4,61.0,111572,trial_1_5_5
3,1,5,6,,6,5,55.0,111629,trial_1_5_6
3,1,5,7,,7,3,71.0,111701,trial_1_5_7
3,1,6,1,1.0,1,1,1157.0,121469,trial_1_6_1
3,1,6,2,1.0,8,8,424.0,121893,trial_1_6_2
3,1,6,3,1.0,6,6,326.0,122220,trial_1_6_3
3,1,6,4,1.0,7,7,311.0,122533,trial_1_6_4
3,1,6,5,1.0,9,9,387.0,122922,trial_1_6_5
3,1,6,6,1.0,3,3,517.0,123440,trial_1_6_6
3,1,6,7,1.0,4,4,188.0,123630,trial_1_6_7
3,1,7,1,1.0,5,5,1548.0,132789,trial_1_7_1
3,1,7,2,1.0,2,2,346.0,133137,trial_1_7_2
3,1,7,3,1.0,3,3,370.0,133508,trial_1_7_3
3,1,7,4,1.0,9,9,354.0,133863,trial_1_7_4
3,1,7,5,1.0,4,4,509.0,134372,trial_1_7_5
3,1,7,6,1.0,1,1,112.0,134485,trial_1_7_6
3,1,8,1,1.0,5,5,1650.0,144760,trial_1_8_1
3,1,8,2,1.0,3,3,399.0,145159,trial_1_8_2
3,1,8,3,1.0,9,9,355.0,145516,trial_1_8_3
3,1,8,4,,4,2,370.0,145886,trial_1_8_4
3,1,8,5,,6,4,331.0,146217,trial_1_8_5
3,1,8,6,,7,6,334.0,146553,trial_1_8_6
3,1,8,7,,2,7,262.0,146815,trial_1_8_7
3,1,9,1,1.0,3,3,2083.0,157524,trial_1_9_1
3,1,9,2,1.0,7,7,543.0,158067,trial_1_9_2
3,1,9,3,1.0,9,9,488.0,158557,trial_1_9_3
3,1,9,4,1.0,4,4,473.0,159032,trial_1_9_4
3,1,9,5,1.0,1,1,453.0,159485,trial_1_9_5
3,1,9,6,1.0,8,8,538.0,160025,trial_1_9_6
3,1,9,7,1.0,2,2,446.0,160472,trial_1_9_7
3,1,10,1,1.0,7,7,1643.0,171762,trial_1_10_1
3,1,10,2,1.0,8,8,392.0,172155,trial_1_10_2
3,1,10,3,,3,4,425.0,172580,trial_1_10_3
3,1,10,4,,4,3,399.0,172980,trial_1_10_4
3,1,10,5,,5,1,722.0,173702,trial_1_10_5
3,1,10,6,,1,5,644.0,174347,trial_1_10_6
3,1,10,7,1.0,9,9,491.0,174839,trial_1_10_7
3,1,10,8,1.0,6,6,619.0,175459,trial_1_10_8
3,1,11,1,1.0,8,8,1627.0,186745,trial_1_11_1
3,1,11,2,1.0,4,4,436.0,187184,trial_1_11_2
3,1,11,3,1.0,6,6,401.0,187585,trial_1_11_3
3,1,11,4,1.0,2,2,490.0,188076,trial_1_11_4
3,1,11,5,1.0,5,5,753.0,188830,trial_1_11_5
3,1,11,6,1.0,7,7,240.0,189071,trial_1_11_6
3,1,11,7,1.0,9,9,420.0,189492,trial_1_11_7
3,1,11,8,1.0,1,1,308.0,189802,trial_1_11_8
3,1,12,1,1.0,4,4,1561.0,202019,trial_1_12_1
3,1,12,2,1.0,2,2,313.0,202333,trial_1_12_2
3,1,12,3,,8,6,378.0,202711,trial_1_12_3
3,1,12,4,,9,1,1104.0,203817,trial_1_12_4
3,1,12,5,,6,9,351.0,204168,trial_1_12_5
3,1,12,6,1.0,3,3,1928.0,206098,trial_1_12_6
3,1,12,7,,7,8,287.0,206387,trial_1_12_7
3,1,12,8,1.0,5,5,968.0,207355,trial_1_12_8
3,1,12,9,,1,7,1123.0,208479,trial_1_12_9
3,1,13,1,1.0,8,8,4887.0,223985,trial_1_13_1
3,1,13,2,1.0,2,2,504.0,224491,trial_1_13_2
3,1,13,3,1.0,4,4,475.0,224967,trial_1_13_3
3,1,13,4,,5,1,473.0,225441,trial_1_13_4
3,1,13,5,1.0,3,3,726.0,226168,trial_1_13_5
3,1,13,6,,1,5,533.0,226702,trial_1_13_6
3,1,13,7,1.0,9,9,411.0,227114,trial_1_13_7
3,1,13,8,1.0,6,6,326.0,227440,trial_1_13_8
3,1,13,9,1.0,7,7,311.0,227752,trial_1_13_9
3,1,14,1,1.0,3,3,1198.0,238595,trial_1_14_1
3,1,14,2,1.0,6,6,411.0,239009,trial_1_14_2
3,1,14,3,1.0,7,7,392.0,239402,trial_1_14_3
3,1,14,4,1.0,5,5,366.0,239768,trial_1_14_4
3,1,14,5,1.0,8,8,469.0,240238,trial_1_14_5
3,1,14,6,1.0,2,2,455.0,240694,trial_1_14_6
3,1,14,7,1.0,4,4,543.0,241238,trial_1_14_7
3,1,14,8,1.0,9,9,338.0,241577,trial_1_14_8
3,2,1,1,1.0,7,7,405.0,278413,trial_2_1_1
3,2,1,2,1.0,9,9,446.0,278859,trial_2_1_2
3,2,1,3,1.0,5,5,305.0,279164,trial_2_1_3
